"","X","Row.names","PFAF_ID","Shape_length","Area_m2_1","Area_km2","Year","Annual_degradation_m2","Deg1990_area_m2","Deg1991_Area_m2","Deg1992_Area_m2","Deg1993_Area_m2","Deg1994_Area_m2","Deg1995_Area_m2","Deg1996_Area_m2","Deg1997_Area_m2","Deg1998_Area_m2","Deg1999_Area_m2","Deg2000_Area_m2","Deg2001_Area_m2","Deg2002_Area_m2","Deg2003_Area_m2","Deg2004_Area_m2","Deg2005_Area_m2","Deg2006_Area_m2","Deg2007_Area_m2","Deg2008_Area_m2","Deg2009_Area_m2","Deg2010_Area_m2","Deg2011_Area_m2","Deg2012_Area_m2","Deg2013_Area_m2","Deg2014_Area_m2","Deg2015_Area_m2","Deg2016_Area_m2","Deg2017_Area_m2","Deg2018_Area_m2","Deg2019_Area_m2","Deg2020_Area_m2","Deg2021_Area_m2"
"1",1,1,181609090,142941.733761,467769264.869,467.769264869,1990,209700,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"2",1,1,181609090,142941.733761,467769264.869,467.769264869,1991,29700,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"3",1,1,181609090,142941.733761,467769264.869,467.769264869,1992,19800,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"4",1,1,181609090,142941.733761,467769264.869,467.769264869,1993,58500,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"5",1,1,181609090,142941.733761,467769264.869,467.769264869,1994,2303100,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"6",1,1,181609090,142941.733761,467769264.869,467.769264869,1995,75600,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"7",1,1,181609090,142941.733761,467769264.869,467.769264869,1996,227700,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"8",1,1,181609090,142941.733761,467769264.869,467.769264869,1997,306900,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"9",1,1,181609090,142941.733761,467769264.869,467.769264869,1998,339300,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"10",1,1,181609090,142941.733761,467769264.869,467.769264869,1999,604800,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"11",1,1,181609090,142941.733761,467769264.869,467.769264869,2000,459000,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"12",1,1,181609090,142941.733761,467769264.869,467.769264869,2001,316800,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"13",1,1,181609090,142941.733761,467769264.869,467.769264869,2002,692100,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"14",1,1,181609090,142941.733761,467769264.869,467.769264869,2003,180900,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"15",1,1,181609090,142941.733761,467769264.869,467.769264869,2004,126000,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"16",1,1,181609090,142941.733761,467769264.869,467.769264869,2005,162000,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"17",1,1,181609090,142941.733761,467769264.869,467.769264869,2006,459900,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"18",1,1,181609090,142941.733761,467769264.869,467.769264869,2007,160200,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"19",1,1,181609090,142941.733761,467769264.869,467.769264869,2008,175500,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"20",1,1,181609090,142941.733761,467769264.869,467.769264869,2009,239400,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"21",1,1,181609090,142941.733761,467769264.869,467.769264869,2010,785700,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"22",1,1,181609090,142941.733761,467769264.869,467.769264869,2011,295200,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"23",1,1,181609090,142941.733761,467769264.869,467.769264869,2012,261000,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
"24",1,1,181609090,142941.733761,467769264.869,467.769264869,2013,864900,209700,29700,19800,58500,2303100,75600,227700,306900,339300,604800,459000,316800,692100,180900,126000,162000,459900,160200,175500,239400,785700,295200,261000,864900,783000,1753200,532800,1074600,817200,417600,1200600,794700
